FILE;WEAPON;DMG;MINIMAL DMG;MELEE DMG;MAX DAMAGE RANGE;MIN DAMAGE RANGE;x HEAD;x NECK;x TORSO UP;x TORSO LOW;x ARMS / LEGS upper;x ARMS / LEGS lower;x HANDS / FEET;FIRE TIME;FIRE DELAY;MELEE TIME;MELEE DELAY;RELOAD;RELOAD EMPTY;RELOAD START TIME;RELOAD END TIME;RELOAD ADD TIME;RELOAD START ADD TIME; 
fileName;displayName,ammoName,clipName;damage;minDamage;meleeDamage;maxDamageRange;minDamageRange;locHead;locNeck;locTorsoUpper;locTorsoLower;locRightArmUpper,locLeftArmUpper,locRightLegUpper,locLeftLegUpper;locRightArmLower,locLeftArmLower,locRightLegLower,locLeftLegLower;locRightHand,locLeftHand,locRightFoot,locLeftFoot;fireTime;fireDelay;meleeTime;meleeDelay;reloadTime;reloadEmptyTime;reloadStartTime;reloadEndTime;reloadAddTime;reloadStartAddTime; 
ak47_mp;Ak47;50;40;500;1500;2500;2;1.5;1;1;1;1;1;0.1;0;0.7;0.1;2;2;2;2;2;2; 
ak74_mp;Ak74;40;20;500;800;1200;1.25;1.1;1;1;1;1;1;0.08;0;0.7;0.1;2;2;2;2;2;2; 
axe_mp;Axe;500;500;600;384;800;1;1;1;1;1;1;1;0.5;0;0.6;0.1;0;0;0;0;0;0; 
bar_mp;Bar;50;30;600;1500;2500;2.5;1.5;1;1;1;1;1;0.11;0;0.7;0.15;3.6;3.8;0;0;2.3;2.3; 
barrett_mp;Barrett;160;140;500;15000;25000;2.2;1.5;1;1;1;1;1;0.4;0;0.7;0.1;3.5;3.5;3.5;3.5;3.5;3.5; 
bashbat_mp;Bashbat;500;500;600;384;800;1;1;1;1;1;1;1;0.5;0;0.5;0.1;0;0;0;0;0;0; 
bat_mp;Bat;500;500;500;384;800;1;1;1;1;1;1;1;0.5;0;0.7;0.1;0;0;0;0;0;0; 
beretta_mp;Beretta;80;60;500;384;800;1.2;1.2;1;1;1;1;1;0.125;0;0.7;0.1;1.3;1.6;0;0;1.3;1.3; 
bren_mp;Bren;60;40;600;1500;2500;2;2;1;1;1;1;1;0.12;0;0.8;0.2;3.7;3.7;0;0;2.6;2.6; 
deagle_mp;Deagle;150;75;500;1000;2000;2;1.5;1;1;1;1;1;0.3;0;0.7;0.1;2.1;2.1;2.1;2.1;2.1;2.1; 
g3_mp;G3;60;40;500;1500;2500;1.5;1.2;1;1;1;1;1;0.1;0;0.7;0.1;2.5;2.5;2.5;2.5;2.5;2.5; 
hbat_mp;Hbat;500;500;500;384;800;1;1;1;1;1;1;1;0.5;0;0.7;0.1;0;0;0;0;0;0; 
kar98k_mp;Kar98k;200;150;500;2000;3000;1.5;1.2;1;1;1;1;1;0.4;0;0.7;0.1;1.5;1.5;1.5;1.5;1.5;1.5; 
